DATA,ITSA4,BBDC4,USIM5,BRFS3,BVMF3,CMIG4,GGBR4,BBAS3,ITUB4,PETR4,VALE5,ABEV3
10/03/2014 10:00,"8,25","27,42388202","8,84","43,6","10,23","12,91","13,81","19,37721454","30,75184661","12,47806763","25,59175299","16,60428324"
10/03/2014 10:05,"8,26","27,38392008","8,87","43,55","10,22","12,94","13,8","19,38705069","30,78182891","12,44048309","25,65966135","16,59435838"
10/03/2014 10:10,"8,26","27,42388202","8,92","43,55","10,24","12,96","13,82","19,44606759","30,78182891","12,54384058","25,65966135","16,60428324"
10/03/2014 10:15,"8,28","27,42388202","8,9","43,59","10,24","12,99","13,81","19,51492063","30,88176991","12,54384058","25,81488048","16,58443353"
10/03/2014 10:20,"8,25","27,40390105","8,91","43,56","10,24","12,94","13,74","19,49524834","30,73185841","12,51565217","25,71786853","16,55465896"
10/03/2014 10:25,"8,25","27,40390105","8,9","43,63","10,22","12,94","13,75","19,48541219","30,75184661","12,50625604","25,63055777","16,60428324"
10/03/2014 10:30,"8,18","27,17411989","8,83","43,62","10,2","12,85","13,67","19,48541219","30,4520236","12,42169082","25,49474104","16,58443353"
10/03/2014 10:35,"8,16","26,98430067","8,74","43,55","10,17","12,82","13,6","19,41655914","30,26213569","12,3371256","25,42683267","16,50503468"
10/03/2014 10:40,"8,19","27,06422455","8,81","43,58","10,17","12,77","13,66","19,41655914","30,4520236","12,32772947","25,62085657","16,51495954"
10/03/2014 10:45,"8,21","27,15413892","8,85","43,62","10,22","12,77","13,67","19,45590374","30,5119882","12,32772947","25,67906375","16,53480925"
10/03/2014 10:50,"8,2","27,04424358","8,85","43,66","10,23","12,79","13,66","19,43623144","30,4320354","12,3089372","25,63055777","16,55465896"
10/03/2014 10:55,"8,18","27,04424358","8,82","43,6","10,21","12,78","13,62","19,46573989","30,4020531","12,25256039","25,54324701","16,53480925"
10/03/2014 11:00,"8,17","26,9643197","8,78","43,58","10,21","12,75","13,56","19,43623144","30,3520826","12,21497585","25,52384462","16,51495954"
10/03/2014 11:05,"8,16","26,88439581","8,7","43,55","10,15","12,78","13,51","19,42639529","30,31210619","12,20557971","25,46563745","16,49510983"
10/03/2014 11:10,"8,13","26,86441484","8,64","43,51","10,12","12,76","13,42","19,41655914","30,22215929","12,15859903","25,42683267","16,49510983"
10/03/2014 11:15,"8,14","26,83444339","8,59","43,51","10,09","12,77","13,41","19,39688684","30,23215339","12,16799517","25,47533865","16,48518497"
10/03/2014 11:20,"8,13","26,83444339","8,58","43,51","10,11","12,83","13,37","19,40672299","30,20217109","12,18678744","25,47533865","16,43556069"
